name,company,salary,location,description
Payments Expert,DataArt,Не указано,Днепр,"DataArt's specialists are currently engaged in the design and development of processing platforms' modules based on the client's business requirements,. . ."
"Embedded Software Engineer, Communications Services",DataArt,Не указано,Киев,"Our client is a global provider of testing, analytics, and security solutions for the telecommunications sector. DataArt's specialists are helping to develop. . ."
NetSuite Architect,DataArt,Не указано,Киев,DataArt is looking for experienced and motivated NetSuite Architect who could provide architecture guidance for our team in the exciting project we are. . .
Senior NetSuite Developer,DataArt,Не указано,Киев,DataArt is looking for a skilled Senior NetSuite Developer to strengthen our team which starts a new project for leading US global education provider. . . .
Senior Sitecore Developer,DataArt,Не указано,Киев,DataArt is looking for an experienced and motivated Senior SiteCore Developer who can provide guidance and technical leadership for our team in an exciting. . .
"BigData Developer, Media Conglomerate",DataArt,Не указано,Днепр,DataArt is involved in the software transformation of key business areas of a US-based global music conglomerate. The solutions we're currently developing. . .
IT manager,Citizen development,30 000 грн,Киев,"IT manager ФОРЕКС Опыт работы в Форексе минимум 6 месяцев Работа с объемом от 40 человек Возраст до 30 лет Работа с Linux , windows , IP телефония, Опыт. . ."
"Senior BigData Engineer, Financial Software Solutions",DataArt,Не указано,Киев,Our client is a New York City-based FinTech Company that is building a trading and risk software platform for the investment banking industry. The BigData. . .
Customer Support Consultant (German/Polish/Spanish/Korean/French/Italian),SupportYourApp,Не указано,Киев,Micro-mobility is the future of travel. Agree? Are you passionate about mobile devices for moving around the city and modern technologies? Join our team. . .
Senior React Native developer,NIX Solutions,Не указано,Харьков,"Наша команда ищет Senior React Native developer, который возглавит разработку мобильного клиента с чат ботом под iOS / Android. Проект - система взаимодействия. . ."
Менеджер по продажам,LOPAN group,15 000 грн,Харьков,"LOPAN group», 15 лет продаем, внедряем и поддерживаем программные продукты «1С», «M. E. Doc», «LIGA:ZAKON», знаем абсолютно все про электронный документооборот. . ."
Senior/Lead . NET developer,Edsson Ukraine LLC,Не указано,Киев,"Требования: Experience with Azure, ASP. NET MVC, Entity Framework, SQL Server or NServiceBus are considered assetsBachelor's degree in (Applied) Computer. . ."
Data Scientist / BI Analyst,Factum Group,Не указано,Киев,"Data Scientist / BI Analyst - в динамично растущую команду Factum Group Требования: Высшее образование: computer science, data science, статистика, маркетинг. . ."
Программист 1C,"РАЙСЬКЕ ДЖЕРЕЛО, ДП",Не указано,Киев,«Райське Джерело» (https://www. eden. com. ua/) - ведущая компания на рынке Украины в направлении Aqua-service (доставка и производств бутилированной воды. . .
Головний фахівець з інформаційної та кадрової безпеки,"Укргазвидобування, АТ",Не указано,Киев,"Потенційний пошукШановні кандидати, у зв'язку з карантинними запобіжними заходами співбесіди проводитимуться онлайн або після закінчення карантину. Забезпечувати. . ."
. NET Senior (Middle) Developer,ISM Ukraine,Не указано,Житомир,Looking for a full-time job in the Zhytomyr office?Then you should definitely take a look at our vacancy! ISM Ukraine is the Ukrainian R&D of the Dutch. . .
"WAY4 Expert, Global Acquiring Platform",DataArt,Не указано,Киев,Our client develops solutions for acquiring payments. They have created a global automated online payment platform that specializes in the processing of. . .
"Senior BigData Engineer, Financial Software Solutions",DataArt,Не указано,Днепр,Our client is a New York City-based FinTech startup that is building a trading and risk software platform for the investment banking industry to sell as. . .
System Administrator (with scripting) / DevOps,Onseo,Не указано,Киев,"We're looking for a person to join our team with a strong system and technological background who we'll be responsible for supporting large, international. . ."
Customer Support Manager (EN + DE),JavaRush,Не указано,Киев,"Интересуешься ИТ, любишь и умеешь общаться с людьми? Грамотно формулируешь свои мысли в письменном виде и обладаешь стрессоустойчивостью? Можешь помирить. . ."
